"Task ID","Parent ID","Phase","Work Package","Task Name","Task Type","Goal","Background","In Scope","Out of Scope","Relevant Files／Modules","Inputs","Expected Output","Dependencies","Entry Criteria","Acceptance Criteria","Validation Method","Test IDs","Test Mapping Status","Rollback Method","Stop Conditions","Implementer","Reviewer","Priority","Risk","Status","Planned Effort","Actual Effort","Start Time","Completion Time","Evidence Link","Review Record ID","Decision Record ID","Progress Denominator Flag","Notes","Gate IDs"
"V5-P3-T006","V5-P3","V5","P3 派遣与军队","实现派遣与行军合同测试","Test","覆盖取消、重复确认、在途保存点、抵达一次、总兵力守恒。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","ArmyState runner","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","ArmyState runner","V5-P3-T003,V5-P3-T005","G2 前置条件满足","ArmyState runner；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P3_T006","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P4-T001","V5-P4","V5","P4 战果写回","冻结遭遇结果事实边界","Architecture","V5 复用现有极简结果，不扩新战斗；结果只描述事实。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","Outcome facts schema","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","Outcome facts schema","V5-P3-T001","G1 前置条件满足","Outcome facts schema；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P4_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P4-T002","V5-P4","V5","P4 战果写回","实现伤亡与幸存写回","Implementation","失败、胜利分别写回损失与幸存，不直接修改 UI 缓存。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","幂等 writeback command","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","幂等 writeback command","V5-P4-T001,V5-P3-T005","G2 前置条件满足","幂等 writeback command；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P4_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P4-T003","V5-P4","V5","P4 战果写回","实现返回或驻扎状态转换","Implementation","幸存者按结果返回来源或驻扎目标；规则由结果合同明确。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","合法状态机","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","合法状态机","V5-P4-T002","G2 前置条件满足","合法状态机；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P4_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P4-T004","V5-P4","V5","P4 战果写回","实现重复结果与冲突结果拒绝","Test","同一 result 只应用一次；冲突/过期结果无部分写入。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","result ledger 测试","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","result ledger 测试","V5-P4-T002,V5-P4-T003","G2 前置条件满足","result ledger 测试；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P4_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P4-T005","V5-P4","V5","P4 战果写回","验证现有奖励事务不回退","Regression","黑石堡 20 木材和 C0 首通键保持现有一次性语义。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","既有奖励/战果回归证据","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","既有奖励/战果回归证据","V5-P4-T004","G3 前置条件满足","既有奖励/战果回归证据；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P4_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","HIGH","NOT_STARTED","","","","","","","","1","","V5-G3"
"V5-P5-T001","V5-P5","V5","P5 存档与迁移","独立裁决 S1A.2 是否可复用","Review","重新复审受保护 8 文件，不因代码存在就当作通过。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","ACCEPT/BLOCKED verdict 与证据","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","ACCEPT/BLOCKED verdict 与证据","V5-P0-T001","G1 前置条件满足","ACCEPT/BLOCKED verdict 与证据；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P5_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P5-T002","V5-P5","V5","P5 存档与迁移","定义 V5 save schema 增量","Architecture","在验收基线上加入驻军、训练、ArmyState 集合、稳定 route/node ID、progress 与 ledger；不随意补字段。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","version + migration contract","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","version + migration contract","V5-P5-T001,V5-P1-T002,V5-P2-T001,V5-P3-T001","G1 前置条件满足","version + migration contract；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P5_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P5-T003","V5-P5","V5","P5 存档与迁移","实现旧快照到 V5 的迁移","Implementation","从 S1A.1 已有单兵力字段安全迁移；失败不污染旧状态。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","migration command + rollback","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","migration command + rollback","V5-P5-T002","G2 前置条件满足","migration command + rollback；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P5_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P5-T004","V5-P5","V5","P5 存档与迁移","实现保存退出与重载闭环","Implementation","训练、驻军、ArmyState 集合（V5 最多一支 active）、稳定 route/node ID、progress 与结果 ledger 跨进程一致。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","versioned disk roundtrip","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","versioned disk roundtrip","V5-P5-T003,V5-P3-T005,V5-P4-T004","G2 前置条件满足","versioned disk roundtrip；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P5_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P5-T005","V5-P5","V5","P5 存档与迁移","实现坏档、旧版与中断恢复测试","Test","覆盖不可覆盖、损坏回退、apply_failed、writer lock 和迁移失败。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","persistence matrix","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","persistence matrix","V5-P5-T004","G2 前置条件满足","persistence matrix；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P5_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P6-T001","V5-P6","V5","P6 最小军备 UI","显示军营训练状态与真实原因","UI","现有城市 UI 中显示成本、完成日、队列、容量/供养阻断。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","无假按钮的最低 UI","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","无假按钮的最低 UI","V5-P2-T006","G4 前置条件满足","无假按钮的最低 UI；状态守恒、失败原子、可审计。","真实窗口 + 自动辅助","T-V5_P6_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V5-G4"
"V5-P6-T002","V5-P6","V5","P6 最小军备 UI","显示本城驻军、预留、在途和可派兵力","UI","玩家能解释兵力去向，不把一个总数当作全部状态。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","军备摘要","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","军备摘要","V5-P1-T004,V5-P3-T003","G4 前置条件满足","军备摘要；状态守恒、失败原子、可审计。","真实窗口 + 自动辅助","T-V5_P6_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","HIGH","NOT_STARTED","","","","","","","","1","","V5-G4"
"V5-P6-T003","V5-P6","V5","P6 最小军备 UI","连接 V4 调遣到真实军备数据","UI Integration","保留手感与场景布局，只替换数据来源和结果回写。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","可玩 V5 调遣路径","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","可玩 V5 调遣路径","V5-P3-T002,V5-P6-T002","G4 前置条件满足","可玩 V5 调遣路径；状态守恒、失败原子、可审计。","真实窗口 + 自动辅助","T-V5_P6_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G4"
"V5-P7-T001","V5-P7","V5","P7 验证与冻结","建立 V5 需求—任务—测试追踪","QA","所有关键需求至少有自动或实体验证。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","验收矩阵无关键缺口","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","验收矩阵无关键缺口","V5-P0-T002","G2 前置条件满足","验收矩阵无关键缺口；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P7_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V5-G3"
"V5-P7-T002","V5-P7","V5","P7 验证与冻结","运行 V5 专项自动测试","QA","单兵种、驻军、训练、派遣、结果、存档全部通过。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","命令、退出码、断言统计","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","命令、退出码、断言统计","V5-P1-T005,V5-P2-T007,V5-P3-T006,V5-P4-T004,V5-P5-T005","G2 前置条件满足","命令、退出码、断言统计；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P7_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G3"
"V5-P7-T003","V5-P7","V5","P7 验证与冻结","运行全量回归与资源扫描","QA","P0/P1/C0/V4 不回退，scene/editor/UID/diff check 通过。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","G3 证据包","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","G3 证据包","V5-P7-T002","G3 前置条件满足","G3 证据包；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P7_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G3"
"V5-P7-T004","V5-P7","V5","P7 验证与冻结","完成真实窗口 V5 垂直闭环","Manual QA","训练→驻军→派遣→结果→写回→保存→重载全程实体操作。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","截图、日志、branch/commit/PID","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","截图、日志、branch/commit/PID","V5-P6-T003,V5-P5-T004,V5-P7-T003","G4 前置条件满足","截图、日志、branch/commit/PID；状态守恒、失败原子、可审计。","真实窗口 + 自动辅助","T-V5_P7_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G4"
"V5-P7-T005","V5-P7","V5","P7 验证与冻结","执行 V5 独立 Agent 复查","Review","复查权威状态、守恒、迁移、幂等和测试证据。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","G5 verdict","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","G5 verdict","V5-P7-T004","G5 前置条件满足","G5 verdict；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P7_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G5"
"V5-P7-T006","V5-P7","V5","P7 验证与冻结","修复复查问题并再次复查","Fix/Review","只在 V5 范围修复阻断项；失败返回 REVIEW_FAILED。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","最终无阻断 verdict","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","最终无阻断 verdict","V5-P7-T005","G5 前置条件满足","最终无阻断 verdict；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P7_T006","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G5"
"V5-P7-T007","V5-P7","V5","P7 验证与冻结","用户试玩、阶段冻结与回滚包","Closeout","用户判断 10–15 分钟闭环；只提交已验收文件。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","V5 freeze commit、closeout、clean status","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","V5 freeze commit、closeout、clean status","V5-P7-T006","G6 前置条件满足","V5 freeze commit、closeout、clean status；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P7_T007","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G6"
"V6-P0-T001","V6-P0","V6","P0 合同","冻结持久外城状态所有权","Architecture","战略节点、道路、军队与城市引用唯一写入者。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","战略节点、道路、军队与城市引用唯一写入者。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","战略节点、道路、军队与城市引用唯一写入者。","V5-P7-T007","V5 VERIFIED 且当前任务前置完成","战略节点、道路、军队与城市引用唯一写入者。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P0_T001","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V6-G0,V6-G1"
"V6-P0-T002","V6-P0","V6","P0 合同","定义 RouteState 与位置表示","Architecture","路线端点、进度、状态和阻断事实，不存像素。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","路线端点、进度、状态和阻断事实，不存像素。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","路线端点、进度、状态和阻断事实，不存像素。","V6-P0-T001","V5 VERIFIED 且当前任务前置完成","路线端点、进度、状态和阻断事实，不存像素。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P0_T002","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V6-G1"
"V6-P1-T001","V6-P1","V6","P1 多军队","在 V5 集合容器上启用多 active army","Implementation","不更换 V5 容器；解除最多一支 active 的阶段限制并保持稳定 ID。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","不更换 V5 容器；解除最多一支 active 的阶段限制并保持稳定 ID。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","不更换 V5 容器；解除最多一支 active 的阶段限制并保持稳定 ID。","V6-P0-T002","V5 VERIFIED 且当前任务前置完成","不更换 V5 容器；解除最多一支 active 的阶段限制并保持稳定 ID。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P1_T001","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P1-T002","V6-P1","V6","P1 多军队","实现多军队守恒与并发预留","Implementation","多个在途对象不复制驻军或互相覆盖。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","多个在途对象不复制驻军或互相覆盖。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","多个在途对象不复制驻军或互相覆盖。","V6-P1-T001","V5 VERIFIED 且当前任务前置完成","多个在途对象不复制驻军或互相覆盖。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P1_T002","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P1-T003","V6-P1","V6","P1 多军队","实现驻扎与本地驻军写回","Implementation","到达友方据点后形成持久驻扎。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","到达友方据点后形成持久驻扎。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","到达友方据点后形成持久驻扎。","V6-P1-T002","V5 VERIFIED 且当前任务前置完成","到达友方据点后形成持久驻扎。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P1_T003","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P1-T004","V6-P1","V6","P1 多军队","实现支援与进攻命令合同","Implementation","合法相邻路线、成本与一次性提交。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","合法相邻路线、成本与一次性提交。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","合法相邻路线、成本与一次性提交。","V6-P1-T003","V5 VERIFIED 且当前任务前置完成","合法相邻路线、成本与一次性提交。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P1_T004","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P1-T005","V6-P1","V6","P1 多军队","实现返回命令与来源恢复","Implementation","返回不是复制；中断/失败可恢复。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","返回不是复制；中断/失败可恢复。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","返回不是复制；中断/失败可恢复。","V6-P1-T004","V5 VERIFIED 且当前任务前置完成","返回不是复制；中断/失败可恢复。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P1_T005","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P2-T001","V6-P2","V6","P2 行军持久化","扩展多军队行军保存与恢复","Persistence","复用 V5 route/node/progress 字段，增加并发时间基准与多事务恢复。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","复用 V5 route/node/progress 字段，增加并发时间基准与多事务恢复。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","复用 V5 route/node/progress 字段，增加并发时间基准与多事务恢复。","V6-P1-T005","V5 VERIFIED 且当前任务前置完成","复用 V5 route/node/progress 字段，增加并发时间基准与多事务恢复。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P2_T001","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","HIGH","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P2-T002","V6-P2","V6","P2 行军持久化","完整战区场景重进重建军队表现","Integration","从 V5 集合和 V6 战区状态投影，不让 Node 成为真相。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","从 V5 集合和 V6 战区状态投影，不让 Node 成为真相。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","从 V5 集合和 V6 战区状态投影，不让 Node 成为真相。","V6-P2-T001","V5 VERIFIED 且当前任务前置完成","从 V5 集合和 V6 战区状态投影，不让 Node 成为真相。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P2_T002","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P3-T001","V6-P3","V6","P3 触发合同","定义两军相遇触发事实","Architecture","只创建 encounter request，不实现 V7 战斗。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","只创建 encounter request，不实现 V7 战斗。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","只创建 encounter request，不实现 V7 战斗。","V6-P2-T002","V5 VERIFIED 且当前任务前置完成","只创建 encounter request，不实现 V7 战斗。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P3_T001","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","HIGH","NOT_STARTED","","","","","","","","1","","V6-G2"
"V6-P3-T002","V6-P3","V6","P3 触发合同","定义抵达敌城的围城触发事实","Architecture","只创建 siege pending fact，不实现 V8。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","只创建 siege pending fact，不实现 V8。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","只创建 siege pending fact，不实现 V8。","V6-P3-T001","V5 VERIFIED 且当前任务前置完成","只创建 siege pending fact，不实现 V8。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P3_T002","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","HIGH","NOT_STARTED","","","","","","","","1","","V6-G2"
